"fips","dem_amount","rep_amount"
47059,43696.3123933595,47500.1350353361
47061,8494.55452526659,9234.01689787687
47063,41080.3160455546,44656.4126943276
47065,232690.186386472,252946.179422559
47067,4188.12474545802,4552.70662574997
47069,15847.8134250338,17227.3868542352
47071,16228.6670650286,17641.3943147641
47073,35925.5063135316,39052.869856471
47075,10947.3278845024,11900.3074700872
47077,17788.1425178313,19336.6241988236
47079,20462.9750591903,22244.3045030034
47081,15928.7922720758,17315.4150186001
47083,5188.34003587632,5639.99199966397
47085,11755.8510604382,12779.2136736686
47087,7456.38040029732,8105.46832191679
47089,34476.1114809267,37477.3032583451
47091,11253.5291498803,12233.1639665922
47093,297542.222569577,323443.67239824
47095,4438.65305349448,4825.04375925405
47097,16216.6467674208,17628.3276341162
47099,27926.3145791553,30357.3377452954
47101,7761.31637119018,8436.94937835357
47103,21741.5551363158,23634.186691922
47105,34205.9711083723,37183.6468037839
47107,34032.6257639228,36995.2115144402
